Latitude,Longitude
46.7995339,-119.0481787
46.7995428,-119.0482056
46.7995378,-119.0481678
46.7995428,-119.0482056
46.7995269,-119.0481715
46.7995428,-119.0482055
46.7995429,-119.0482057
46.7995428,-119.0482055
46.7995428,-119.0482055
46.7995429,-119.0482057
46.7995428,-119.0482055
46.7995428,-119.0482056
46.7995428,-119.0482055
46.7995428,-119.0482056
46.7995428,-119.0482055
46.7995428,-119.0482056
46.7995428,-119.0482056
46.7992453,-119.0461464
46.7965866,-119.0278265
46.7964668,-119.0270012
46.7956321,-119.0212811
46.7949677,-119.0167104
46.7946424,-119.0138074
46.7946396,-119.0117117
46.7946848,-119.0056039
46.7947167,-119.0014112
46.7947174,-119.000423
46.794747,-118.9972422
46.7947919,-118.9911219
46.7948081,-118.9889679
46.7948749,-118.9805202
46.7948749,-118.9805202
46.7948665,-118.9763029
46.7947266,-118.9636442
46.7947024,-118.9615366
46.7946657,-118.9583735
46.7945655,-118.9488955
46.7945431,-118.9467881
46.7945011,-118.9428434
46.7942497,-118.9204364
46.7941076,-118.9077826
46.7940068,-118.8991492
46.7940051,-118.8991493
46.7939836,-118.8972519
46.793974,-118.8964087
46.7939093,-118.8907167
46.7938852,-118.8886085
46.7938268,-118.883559
46.7937779,-118.8793395
46.7937557,-118.8774439
46.7937532,-118.8772392
46.7937456,-118.8766072
46.7937021,-118.8729818
46.7935229,-118.8567521
46.7935001,-118.8561648
46.7933793,-118.8462489
46.7933641,-118.824573
46.7933641,-118.824566
46.7933693,-118.8205165
46.7933695,-118.8203895
46.7933705,-118.8184644
46.7933705,-118.8184644
46.7933706,-118.8158526
46.7933705,-118.8150203
46.7933716,-118.8139615
46.7933725,-118.8130716
46.7933739,-118.8116612
46.7933815,-118.8015817
46.7933815,-118.8013721
46.7933815,-118.8011597
46.7933818,-118.799066
46.7933823,-118.7948732
46.7933817,-118.7885772
46.7933911,-118.780166
46.7933866,-118.7698401
46.7933639,-118.7613234
46.7933458,-118.7611126
46.7933458,-118.7611126
46.7933203,-118.7608936
46.7929181,-118.7590707
46.7921434,-118.7558631
46.7921843,-118.7555835
46.7921037,-118.7557268
46.7920936,-118.7556573
46.7920936,-118.7556573
46.792095,-118.7556632
46.7919005,-118.7548595
46.7913938,-118.7527701
46.7913938,-118.7527701
46.7913938,-118.7527701
46.7900231,-118.74719
46.7900231,-118.74719
46.7900231,-118.74719
46.7900231,-118.74719
46.7897339,-118.7450127
46.7897096,-118.7447311
46.7916186,-118.7403755
46.7916195,-118.7403522
46.7916195,-118.7403522
46.7916195,-118.7403522
46.7916195,-118.7403522
46.7916195,-118.7403522
46.7916195,-118.7403522
46.7916256,-118.7403112
46.7917265,-118.7402092
46.7918336,-118.7400662
46.7919394,-118.739922
46.792977,-118.7384449
46.7930698,-118.7382762
46.7936374,-118.7365841
46.7942133,-118.7194904
46.7943764,-118.7137952
46.794389,-118.7131611
46.7943943,-118.7116825
46.7944038,-118.7032294
46.7944241,-118.6759666
46.7944269,-118.6719535
46.7944316,-118.6656141
46.7944361,-118.658852
46.794437,-118.6573885
46.7944291,-118.6507896
46.7944386,-118.6482936
46.7944387,-118.6457641
46.7944388,-118.6444995
46.7944388,-118.6379651
46.7944388,-118.6377545
46.7944454,-118.6229958
46.794447,-118.6213125
46.7944819,-118.6105687
46.7945374,-118.6008713
46.7945492,-118.5987181
46.7945675,-118.5955971
46.7945795,-118.5934891
46.7946253,-118.5852636
46.7946253,-118.5852636
46.7946724,-118.5766172
