,X,Y
1256,2053749.0,643411.18
1257,2054003.35,643421.51
1260,2054553.4530000002,643589.538
1261,2054548.32,643588.14
1263,2054845.76,643438.28
1265,2054950.9630000002,643440.548
1266,2055265.064,643447.327
1267,2055447.841,643602.784
1268,2055581.54,643462.19
1270,2056005.37,643476.48
1271,2056059.509,643478.704
1272,2056113.035,643480.906
1274,2056136.96,643481.89
1275,2056112.15,643480.87
1277,2057182.68,643666.36
1278,2057186.47,643666.45
1279,2058269.8469999998,643694.19
1280,2058254.4109999998,643539.456
1281,2058483.061,643699.6479999999
1282,2058569.23,643547.25
1283,2058629.6609999998,643548.751
1284,2058782.85,643552.55
1286,2061104.81,643765.46
1288,2061465.5359999998,643616.434
1289,2061465.5359999998,643616.434
1290,2061465.5359999998,643616.434
1295,2063044.95,643813.137
1297,2065896.24,643888.13
1299,2067053.648,643755.554
1300,2067186.69,643759.08
1301,2067260.43,643923.82
1302,2068327.28,643950.99
1303,2070423.514,644005.011
1304,2071160.521,644025.3979999999
1305,2071475.63,644032.61
1306,2072000.13,644047.39
1307,2072012.31,644049.88
1308,2072005.82,643887.41
1309,2072310.37,644054.45
1310,2072532.5669999998,644057.856
1311,2073586.456,644095.207
1312,2075179.6609999998,643968.074
1313,2076236.23,644154.0
1314,2076505.03,644162.02
1315,2077354.73,644019.25
1316,2078347.18,644042.909
1317,2079412.8,644068.31
1318,2079940.54,644081.26
1319,2080459.886,644096.7679999999
1320,2080459.91,644096.77
1321,2081516.3909999998,644128.317
1322,2081668.73,644289.46
1324,2082047.5990000002,644302.1410000001
1325,2082567.6130000001,644159.708
1326,2082567.61,644159.71
1327,2082578.955,644159.77
1329,2084156.31,644278.12
1330,2084364.57,644312.52
1331,2084646.15,644374.17
1332,2084878.66,644431.9
1333,2085181.11,644525.8
1334,2085196.73,644685.87
1335,2085683.17,644688.12
1336,2086128.82,645042.2
1338,2086595.75,645273.48
1339,2086829.93,645403.59
1340,2088040.9,645864.07
1341,2088476.89,646095.41
1342,2088742.15,646422.97
1344,2088962.28,646542.34
1345,2089020.301,646383.75
1346,2089162.31,646459.1
1347,2089894.976,646871.025
1348,2090026.87,646943.57
1349,2091066.27,647682.15
1351,2091496.42,647880.446
1352,2092188.9530000002,648143.983
1353,2092274.88,648012.69
1354,2092272.86,648171.04
1355,2093313.18,648437.53
1357,2094608.017,648409.827
1358,2094875.37,648564.09
1359,2095915.39,648564.55
1360,2095920.32,648409.35
1361,2096122.16,648564.64
1362,2096145.89,648561.64
1363,2096190.78,648408.79
1365,2097404.161,648564.1039999999
1367,2097802.95,648564.31
1368,2097876.415,648563.4820000001
