CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013039,E416486,522,5.9,522,47.5964621491,-122.18152212209999,4,14,2,1.0,1.0,01,U,2,6,2,,,,W,U,A,W,17.0,53.0,657.0,522,35.0,5.88,5.96,0,0,0,4,0,10,40,42651.0,1.25,0.0,+,1.0700000000000005
201501304,E392386,005,140.59,5,47.5800220553,-122.1675827457,1,9,5,1.0,4.0,01,U,1,1,2,A,S,Y,A,U,P,W,17.0,51.0,443.0,005,60.0,140.44,141.14,30,10,84,8,10,12,96,190499.0,48.67,0.5,+,1.4
2015013040,E416825,405,14.33,405,47.3239982916,-122.2451574634,4,16,4,1.0,1.0,01,U,1,1,1,,A,Y,A,U,P,W,17.0,51.0,75.0,405,60.0,14.32,14.34,23,0,16,6,10,12,72,158137.0,1.15,0.0,+,2.88
2015013041,E416827,405,12.27,405,47.3017666837,-122.1999446904,4,16,4,1.0,1.0,01,U,2,6,2,A,S,,A,U,A,W,17.0,51.0,75.0,405,60.0,12.27,12.31,20,6,155,8,10,12,96,195319.0,2.85,0.0,-,0.69
2015013042,E416626,090,8.310000000000002,90,47.3178719334,-122.00465345379999,4,13,1,2.0,4.0,03,U,1,1,2,A,S,,A,U,A,W,17.0,51.0,75.0,090,60.0,8.269999999999998,8.4,0,10,60,6,10,12,72,75236.0,3.5699999999999994,0.0,+,4.0
2015013043,E416586,167,17.2,167,47.5691835525,-122.6799103317,4,15,3,1.0,1.0,01,U,2,7,2,A,S,,A,U,A,W,17.0,52.0,55.0,167,60.0,17.16,17.36,10,10,44,5,10,12,60,102513.0,7.480000000000001,0.0,-,0.12
2015013044,E416582,018,5.94,18,47.5673709528,-122.63293353290001,4,15,3,1.0,1.0,01,U,1,1,2,,A,,A,U,A,W,17.0,52.0,55.0,018,60.0,5.52,6.37,5,0,16,4,10,12,48,61396.0,19.05,0.75,-,1.14
2015013045,E416580,169,8.29,169,47.593471710900005,-122.62949949909999,4,6,1,1.0,1.0,01,U,1,1,2,A,,Y,A,U,A,W,17.0,53.0,95.0,169,,8.28,8.310000000000002,0,3,0,2,3,11,22,10905.0,0.12,0.0,-,1.9
2015013046,E416558,310,0.2,310,47.569159830299995,-122.63290960229999,4,15,3,1.0,1.0,01,U,1,1,2,C,,,C,U,A,W,18.0,53.0,115.0,310,,0.17,0.24,0,0,0,4,0,16,64,30729.0,0.79,0.0,,0.0
2015013047,E416693,303,0.16,303,47.291004821,-122.3058834591,4,16,4,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,303,55.0,0.16,0.18,2,0,0,4,0,12,46,13259.0,0.1,0.0,+,2.55
