,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
7690,201408416,E314972,160,1.82,160,46.7353762458,-122.95374778709999,3,6,4,2.0,1.0,03,U,1,1,2,A,,Y,A,U,A,W,18.0,54.0,,160,,1.82,1.92,0,4,0,2,4,12,24,12286.0,0.45,0.0,-,4.9
7692,201408417,E313560,160,4.96,160,46.582774201499994,-122.3541875134,3,7,5,1.0,1.0,01,R,2,7,3,A,,Y,A,R,A,W,18.0,44.0,,160,,4.84,4.96,0,4,0,2,4,12,24,5673.0,0.25,0.0,+,0.0
7693,201408418,E313561,016,24.71,16,47.4546402071,-122.82008722180001,3,6,4,1.0,6.0,01,U,1,1,2,A,S,Y,A,U,A,W,18.0,52.0,1000.0,016,60.0,24.7,24.75,0,4,60,4,10,12,48,46571.0,0.85,0.0,-,3.16
7694,201408419,E313255,160,0.66,160,47.130454972399995,-123.0996057081,3,7,5,1.0,1.0,01,U,1,1,2,A,,,A,U,A,W,18.0,53.0,1000.0,160,,0.45,0.69,0,4,0,2,4,12,24,23042.0,2.02,0.0,-,0.3
7695,201408420,E313258,166,2.33,166,47.193562433500006,-123.09886577549999,3,7,5,1.0,1.0,01,U,2,7,2,A,,Y,A,U,A,W,18.0,53.0,1000.0,166,,2.28,2.52,0,5,0,2,5,12,24,13183.0,1.15,0.0,+,0.39
7696,201408421,E313244,305,13.29,305,47.167717590500004,-122.14854558190001,3,7,5,1.0,1.0,01,U,1,1,2,A,,,A,U,A,W,18.0,52.0,1010.0,305,,13.28,13.29,0,8,0,4,8,12,48,34575.0,0.13,0.0,+,2.0
7697,201408422,E313725,090,60.64,90,47.167717590500004,-122.14854558190001,3,7,5,4.0,6.0,02,R,2,6,3,A,S,,A,R,A,,19.0,41.0,,090,65.0,60.62,60.68,12,4,100,4,10,12,48,30349.0,0.66,0.0,-,1.8
7698,201408423,E313726,090,61.86,90,47.2390543473,-122.35708097959998,3,7,5,2.0,6.0,01,R,1,1,2,A,S,Y,A,R,A,,19.0,41.0,,090,65.0,61.85,61.91,12,4,100,4,10,12,48,29622.0,0.65,0.0,+,1.05
7699,201408424,E315013,014,95.19,14,47.2396608171,-122.385802107,3,2,7,4.0,6.0,06,R,1,1,2,A,,,A,R,B,E,20.0,43.0,,014,55.0,94.34,95.31,20,3,0,2,6,12,23,2197.0,0.78,10.0,-,0.2
7700,201408425,E314089,507,3.08,507,47.384692497399996,-122.6260946642,3,6,4,2.0,1.0,03,U,1,1,2,A,,Y,A,U,A,W,21.0,54.0,180.0,507,25.0,3.08,3.17,0,4,0,2,4,12,24,9672.0,0.32,0.0,+,0.08
