CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400077,1.0,33.0,,35.0,2.0,51,8,2.0,,12,0,0,,,1
201400077,1.0,33.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400077,,,,,,0,0,,,0,0,0,,,3
201400080,2.0,22.0,9.0,70.0,2.0,1,0,1.0,,12,0,0,,,1
201400080,,,,,,0,0,,,0,0,0,,,2
201400081,1.0,54.0,9.0,70.0,2.0,1,7,1.0,,12,0,0,,,1
201400081,2.0,21.0,,70.0,2.0,18,0,4.0,,12,0,0,,,2
201400082,1.0,46.0,,60.0,2.0,4,0,4.0,,12,0,0,,,1
201400083,1.0,28.0,,70.0,2.0,1,4,1.0,,12,0,0,,,1
201400083,,,,,,0,0,,,0,0,0,,,2
201400084,1.0,23.0,,30.0,2.0,7,0,4.0,,12,0,0,,,1
201400084,1.0,32.0,,30.0,2.0,18,0,4.0,,12,0,0,,,2
201400084,1.0,90.0,,,2.0,23,0,4.0,,12,0,0,,,3
201400085,,,,25.0,2.0,3,1,3.0,,11,0,0,,,1
201400086,1.0,21.0,,45.0,2.0,52,0,4.0,,12,0,0,,,1
201400087,1.0,66.0,,55.0,2.0,4,7,4.0,,12,0,0,,,1
201400087,1.0,60.0,,55.0,2.0,18,0,4.0,,12,0,0,,,2
201400088,1.0,28.0,,35.0,2.0,23,0,4.0,,12,0,0,,,1
201400088,1.0,54.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400089,1.0,34.0,,40.0,2.0,17,0,4.0,,12,0,0,,,1
201400090,,,,60.0,1.0,4,0,9.0,,12,0,0,,,1
201400090,2.0,22.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400090,2.0,22.0,,,1.0,18,0,4.0,,12,0,0,,,3
201400091,2.0,22.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400091,1.0,49.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400092,1.0,65.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400092,2.0,22.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400093,1.0,55.0,,60.0,1.0,23,5,4.0,,12,0,0,,,1
201400093,1.0,58.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400094,,,,60.0,2.0,4,7,9.0,,12,0,0,,,1
201400094,1.0,41.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400095,1.0,22.0,,60.0,2.0,7,0,4.0,,12,0,0,,,1
201400095,1.0,43.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400097,1.0,25.0,,35.0,1.0,5,0,4.0,,12,0,0,,,1
201400097,1.0,50.0,,35.0,1.0,18,0,4.0,,12,0,0,,,2
201400100,1.0,19.0,,40.0,2.0,11,0,4.0,,12,0,0,,,1
201400100,1.0,22.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400101,2.0,52.0,,35.0,2.0,21,0,4.0,,12,0,0,,,1
