CASENO,SEATPOS,VEHNO
2016003967,3,1
2016003967,7,1
2016003967,8,1
2016003967,9,1
2016003971,3,2
2016003982,3,2
2016003986,6,3
2016003987,5,1
2016003993,3,1
2016003993,7,1
2016003993,3,2
2016003993,6,2
2016003997,3,2
2016003997,3,3
2016003997,7,3
2016003999,3,2
2016003999,7,2
2016003999,9,2
2016004009,3,2
2016004011,3,2
2016004011,9,2
2016004011,3,3
2016004012,3,2
2016004013,9,1
2016004017,3,2
2016004017,7,2
2016004017,9,2
2016004026,3,2
2016004028,3,2
2016004030,3,2
2016004035,3,2
2016004038,3,3
2016004041,3,2
2016004042,7,2
2016004044,3,1
2016004044,7,1
2016004047,3,2
2016004049,3,3
2016004050,3,2
2016004051,3,2
2016004058,3,2
2016004059,3,2
2016004062,7,2
2016004062,9,2
2016004066,3,2
2016004066,4,2
2016004066,6,2
2016004069,4,1
2016004069,5,1
2016004072,7,2
2016004078,5,3
2016004078,7,3
2016004079,3,3
2016004079,8,3
2016004079,9,3
2016004083,5,1
2016004083,9,1
2016004089,8,1
2016004110,3,2
2016004113,3,1
2016004113,6,1
2016004113,7,1
2016004139,3,2
2016004141,7,1
2016004146,4,2
2016004159,7,2
2016004159,9,2
2016004165,3,2
2016004165,7,2
2016004165,9,2
2016004172,3,2
2016004178,3,2
2016004181,7,1
2016004183,3,2
2016004192,3,2
2016004199,3,1
2016004199,8,1
2016004199,9,1
2016004201,6,1
2016004206,4,2
2016004206,6,2
2016004221,7,1
2016004221,3,2
2016004222,4,3
2016004222,6,3
2016004226,3,2
2016004229,3,2
2016004229,4,2
2016004229,6,2
2016004230,3,3
2016004230,9,3
2016004232,3,2
2016004232,9,2
2016004237,3,2
2016004237,7,2
2016004237,9,2
2016004242,1,3
2016004242,9,3
2016004243,3,2
2016004259,3,2
2016004263,3,2
2016004266,3,2
2016004266,7,2
2016004273,3,2
2016004293,3,2
2016004299,4,1
2016004299,5,1
2016004299,9,1
2016004302,3,2
2016004302,10,2
2016004303,7,1
2016004306,3,2
2016004313,9,2
2016004315,3,2
2016004317,3,2
2016004317,7,2
2016004317,9,2
2016004318,4,2
2016004318,6,2
2016004323,3,3
2016004323,9,3
2016004333,3,1
2016004334,3,2
2016004342,3,2
2016004342,7,2
2016004342,9,2
2016004343,3,2
2016004345,3,2
2016004346,3,2
2016004346,9,2
2016004348,3,2
2016004348,7,2
2016004350,3,2
2016004356,3,2
2016004357,3,2
2016004358,3,1
2016004365,4,1
2016004365,5,1
2016004366,3,3
2016004370,3,2
2016004370,9,2
2016004375,9,2
2016004391,9,2
2016004396,3,2
2016004396,5,2
2016004402,3,2
2016004403,3,1
2016004403,3,2
2016004403,9,2
2016004405,3,2
2016004414,7,1
2016004417,3,1
2016004417,6,1
2016004426,3,1
2016004426,3,2
2016004427,3,2
2016004430,4,1
2016004438,3,2
2016004438,4,2
2016004438,6,2
2016004438,9,2
2016004440,3,2
2016004440,9,2
2016004441,3,2
2016004441,7,2
2016004441,9,2
2016004444,3,2
2016004450,3,2
2016004451,3,2
2016004453,3,2
2016004454,9,2
2016004473,7,2
2016004473,9,2
2016004475,3,2
2016004480,3,2
2016004480,4,2
2016004480,5,2
2016004480,6,2
2016004480,7,2
2016004480,9,2
2016004481,9,2
2016004493,3,2
2016004500,5,1
2016004500,6,1
2016004503,7,1
2016004503,9,1
2016004515,3,2
2016004527,7,1
2016004529,3,1
2016004529,3,2
2016004529,8,2
2016004531,3,2
